topology,n_layers,n_neurons,total_params,epochs,train_loss,val_loss,val_accuracy,val_f1_macro,val_f1_weighted,time_s
10,1,10,247,55,0.196722,0.202614,0.9256,0.9395,0.9255,0.41
30,1,30,727,40,0.198897,0.203836,0.9221,0.9351,0.9223,0.37
50,1,50,1207,39,0.192807,0.200396,0.9285,0.9403,0.9287,0.44
70,1,70,1687,42,0.191428,0.199598,0.928,0.9396,0.928,0.54
100,1,100,2407,41,0.190132,0.198225,0.929,0.9411,0.9291,0.64
10×10,2,10,357,51,0.190053,0.20158,0.927,0.9389,0.927,0.49
30×30,2,30,1657,88,0.173096,0.194589,0.9319,0.943,0.932,1.22
50×50,2,50,3757,44,0.178819,0.195183,0.9319,0.9445,0.932,0.83
70×70,2,70,6657,38,0.184024,0.19774,0.9324,0.944,0.9324,1.12
100×100,2,100,12507,79,0.169998,0.195107,0.929,0.941,0.929,4.28
10×10×10,3,10,467,47,0.190665,0.205983,0.9265,0.9389,0.9268,0.55
30×30×30,3,30,2587,54,0.174368,0.194603,0.9275,0.9398,0.9276,0.97
50×50×50,3,50,6307,64,0.166759,0.195735,0.9275,0.9389,0.9276,1.66
70×70×70,3,70,11627,66,0.16559,0.195207,0.9285,0.9402,0.9285,2.89
100×100×100,3,100,22607,79,0.161945,0.192111,0.93,0.9421,0.93,6.17
